rest_name,menu_item,description,glutenContaining
Red Robin,Bone-In Bar Wings,Served on a bed of Yukon kettle chips.,2
Red Robin,All-White Meat Boneless Wings,Served on a bed of Yukon kettle chips.,2
Red Robin,WINGS SAUCES,,
Red Robin,Buzz,topped with Bleu cheese crumbles and carrot sticks.,2
Red Robin,Banzai,with grilled pineapple.,2
Red Robin,Island Heat,with grilled pineapple and fresh jalapeño.,2
Red Robin,Whiskey River BBQ,with crispy onion straws,2
Red Robin,Towering Onion Rings,13 crispy onion rings with Campfire Mayo and ranch,2
Red Robin,Fried Pickle Nickels,Golden-fried dill slices served with Campfire Mayo,2
Red Robin,Donatos Pizza,"Try any 10' Donatos pizza as an appitizer. Available in Signature, Classic, and Create Your Own. See Pizza section for toppings, pricing and calories.",1
Red Robin,Pretzel Bites,Bear claw pretzel bites and New Belgium Fat Tire beer cheese.,2
Red Robin,Mozzarella Sticks,"Lightly battered Mozzarella cheese, fried to perfection and served with marinara sauce.",2
Red Robin,Pretzel Bacon Beer-Cheese Burger,"Fire-grilled beef burger topped with Cheddar cheese, hardwood-smoked bacon and mayo on a toasted pretzel bun. Served with New Belgium® Fat Tire® beer cheese fondue for dipping and Bottomless Steak Fries®",1
Red Robin,CHEESY BACON FONDUE BURGER,"Fire-grilled beef burger topped with American cheese, hardwood-smoked bacon and mayo on a toasted brioche bun. Served with cheesy bacon fondue for dipping and Bottomless Steak Fries®",1
Red Robin,New Belgium Fat Tire,"An easy drinking, Amber Ale.",2
Red Robin,Bacon Cheeseburger,"Hardwood-smoked bacon, lettuce, tomatoes, mayo and choice of cheese on a toasted sesame bun.",1
Red Robin,GUACAMOLE BACON,"House-made guac, hardwood-smoked bacon, Swiss, red onions, lettuce, tomatoes and mayo on a toasted sesame bun",1
Red Robin,RED ROBIN GOURMET CHEESEBURGER,"Red’s Pickle Relish, red onions, pickles, lettuce, tomatoes, mayo and your choice of cheese on a toasted sesame bun",1
Red Robin,SAUTÉED ’SHROOM,Garlic-and-Parmesan-sautéed mushrooms with Swiss on a toasted sesame bun.,1
Red Robin,The Southern Charm Burger,"Brown sugar glaze, candied bacon, Whiskey River BBQ Sauce, Cheddar, carmelized onions, lettuce and mayo on a toased brioche bun.",2
Red Robin,Black & Bleu,"Sautéed and blackened portobello mushrooms, caramelized onions, creamy cheese sauce, Bleu cheese crumbles, lettuce and roasted garlic aioli on a toasted brioche bun.",1
Red Robin,Whiskey River BBQ,"Whiskey River BBQ Sauce, crispy onion straws, Cheddar, lettuce, tomatoes and mayo on a toasted sesame bun.",2
Red Robin,The Madlove Burger,"A Cheddar-and-Parmesan crisp, Provolone, Swiss, jalapeño relish, candied bacon, avocado, citrus-marinated tomatoes and red onions with lettuce on a toasted brioche bun.",1
Red Robin,Burnin' Love Burger,"Fried jalapeño coins, house-made salsa, Pepper-Jack, lettuce, tomatoes and chipotle aioli on a toasted sesame bun.",2
Red Robin,Smoke & Pepper,"Black-peppered bacon, Cheddar, lettuce, dill pickle planks and Smoke & Pepper ketchup on a toasted brioche bun.",1
Red Robin,Royal Red Robin Burger,"Hardwood-smoked bacon, egg, American cheese, lettuce, tomatoes and mayo on a toasted sesame bun.",1
Red Robin,Scorpion Gourmet Burger,"Scorpion Pepper Sauce, Pepper-Jack, fried jalapeño coins, lettuce, tomatoes, pickles, red onions and jalapeños roasted in Scorpion sauce and roasted garlic aioli on a toasted sesame bun",1
Red Robin,Banzai,"Teriyaki-glazed patty, grilled pineapple, Cheddar, lettuce, tomatoes and mayo on a toasted sesame bun.",2
Red Robin,MONSTER BURGER,"Two Gourmet patties, your choice of cheese, red onions, Red’s Pickle Relish, pickles, lettuce, tomatoes and mayo on a toasted sesame bun.",1
Red Robin,THE IMPOSSIBLE™ CHEESEBURGER,"A delicious, fire-grilled patty made from plants. Red’s Pickle Relish, red onions, pickles, lettuce, tomatoes, mayo and your choice of cheese on a toasted sesame bun.",2
Red Robin,VEGGIE BURGER,"Ancient-grain-and-quinoa veggie patty with Swiss cheese, house-made salsa, fresh avocado slices, roasted garlic aioli and lettuce on a toasted sesame bun.",2
Red Robin,THE WEDGIE™ BURGER,"Hardwood-smoked bacon, house-made guac, tomatoes and red onions in a lettuce wrap. Served with a Bottomless side salad",1
